gen,fidelity,predicates,uncovered,rules
178,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
179,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
180,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
181,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
182,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
183,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
184,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
185,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
186,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
187,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
188,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
189,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
190,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
191,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
192,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
193,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
194,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
195,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
196,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
197,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
198,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
199,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
200,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
