gen,fidelity,predicates,uncovered,rules
59,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
60,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
61,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
62,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
63,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
64,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
65,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
66,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
67,1.0,5.0,208.0,[mean concave points < -0.74 AND worst perimeter < -1.19 AND radius error < 2.00]→1 | [worst radius > 1.54]→0 | [worst concave points <= -0.57]→1
68,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
69,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
70,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
71,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
72,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
73,1.0,11.0,151.0,[worst texture == -1.33]→0 | [worst radius > 1.49]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
74,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
75,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
76,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
77,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
78,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
79,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
80,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
81,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
82,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness < 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
83,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
84,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
85,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness < 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
86,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
87,1.0,11.0,140.0,[worst texture == -1.33]→0 | [worst radius >= 1.28]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == 3.25 AND compactness error <= 3.44 AND mean compactness < 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.14]→0
88,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
89,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
90,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
91,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
